,shop,image,product title,listing link
21,SoCutePrintCo,https://i.etsystatic.com/16642375/d/il/5e9a6f/1618740191/il_340x270.1618740191_expn.jpg?version=0,"
                        Teacher clipart, Back to school, PNG file for sublimation, school clipart, first day of school, 3 pencils printable, teacher printable
                    ",https://www.etsy.com/listing/617858966/teacher-clipart-back-to-school-png-file?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-16&organic_search_click=1
22,WhimsyBeeDesignCo,https://i.etsystatic.com/13427684/d/il/c18a16/1560655728/il_340x270.1560655728_t80z.jpg?version=0,"
                        First Day Of School Reusable Chalkboard Printable Sign Back to School Poster
                    ",https://www.etsy.com/listing/536729754/first-day-of-school-reusable-chalkboard?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-17&organic_search_click=1&bes=1
23,ABCSongShop,https://i.etsystatic.com/13074769/d/il/8c09c6/1252307729/il_340x270.1252307729_fznm.jpg?version=0,"
                        Watch Out first Grade Here I Come Sign,  Day of First Grade Sign INSTANT DOWNLOAD, Back to School Chalkboard Sign Printable Photo
                    ",https://www.etsy.com/listing/469769773/watch-out-first-grade-here-i-come-sign?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-18&organic_search_click=1
24,KidsPartyBoutique,https://i.etsystatic.com/13517473/d/il/99090f/1507155402/il_340x270.1507155402_cqoc.jpg?version=0,"
                        Last Day Of Pre-K Sign. Last Day Of School Sign Printable. Graduation Chalkboard Sign. DIGITAL FILE. Instant Download.
                    ",https://www.etsy.com/listing/601369652/last-day-of-pre-k-sign-last-day-of?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-7&plkey=84e85accafaaeeb0b4c7d58fbf736f57e31fd21f%3A601369652
25,GlamtasticInvites,https://i.etsystatic.com/11393939/c/1159/921/224/4/il/42c116/1861148332/il_340x270.1861148332_puka.jpg,"
                        Back to School sign, First day of school sign, 1st day of School Chalkboard, Back to School printable, Kindergarten poster EDITABLE, DIY
                    ",https://www.etsy.com/listing/629566569/back-to-school-sign-first-day-of-school?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-8&plkey=d93c418d3f2569ba291d9ed59b545fcd22754639%3A629566569&pro=1
26,MsSupaSaiyanPrints,https://i.etsystatic.com/19765974/d/il/e21b4a/1870419539/il_340x270.1870419539_7xv1.jpg?version=0,"
                        Toddler Learning Printables
                    ",https://www.etsy.com/listing/679633052/toddler-learning-printables?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-9&plkey=24307ee0edb0e03d08bf521de124bb2245dc2f1d%3A679633052
27,SoCutePrintCo,https://i.etsystatic.com/16642375/d/il/738d0a/1885044105/il_340x270.1885044105_b6g6.jpg?version=0,"
                        Teacher clipart, Blessed Teacher clipart, Back to school, PNG file for sublimation, first day of school, printable, teacher printable
                    ",https://www.etsy.com/listing/682912704/teacher-clipart-blessed-teacher-clipart?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-19&organic_search_click=1
28,SoCutePrintCo,https://i.etsystatic.com/16642375/d/il/9adf08/1618387937/il_340x270.1618387937_58iz.jpg?version=0,"
                        Teacher clipart, Back to school, PNG file for sublimation, first day of school, love apple clipart, printable, teacher printable
                    ",https://www.etsy.com/listing/631611239/teacher-clipart-back-to-school-png-file?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-20&organic_search_click=1&bes=1
29,HappyFiestaDesign,https://i.etsystatic.com/9469057/d/il/c06707/1544895915/il_340x270.1544895915_rpyc.jpg?version=0,"
                        PRINTABLE When I Grow Up I Want To Be Sign–Back To School Prop,1st Day Of School Sign–Photo Booth Sign-Printable Sign–Instant Download
                    ",https://www.etsy.com/listing/238758228/printable-when-i-grow-up-i-want-to-be?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-21&organic_search_click=1
30,PaperManiaShop,https://i.etsystatic.com/18207216/d/il/0ca228/1662632279/il_340x270.1662632279_mm6n.jpg?version=0,"
                        Back to School Sign Printable
                    ",https://www.etsy.com/listing/628877158/back-to-school-sign-printable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-22&organic_search_click=1
31,DesigningPapers,https://i.etsystatic.com/13332884/d/il/be39ff/1249954977/il_340x270.1249954977_8sdm.jpg?version=0,"
                        First Day of Kindergarten Sign, Back To School Sign, Printable Chalkboard Sign
                    ",https://www.etsy.com/listing/517812106/first-day-of-kindergarten-sign-back-to?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-23&organic_search_click=1&frs=1
32,HOOTinvitations,https://i.etsystatic.com/8164749/c/1500/1191/0/154/il/f5cbcc/1280995027/il_340x270.1280995027_5f2t.jpg,"
                        First day of Kindergarten sign BOYS, First day of school sign, kindergarden poster Chalkboard poster, 1st day Back to School Sign Printable
                    ",https://www.etsy.com/listing/471155985/first-day-of-kindergarten-sign-boys?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-24&organic_search_click=1&frs=1
33,HOOTinvitations,https://i.etsystatic.com/8164749/c/1500/1191/0/277/il/6d1526/1627361683/il_340x270.1627361683_t4jl.jpg,"
                        First day of school sign editable, Back to School sign, 1st day of school, Back to School printable, kindergarten poster BOYS, White
                    ",https://www.etsy.com/listing/633924177/first-day-of-school-sign-editable-back?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-25&organic_search_click=1&bes=1
